,owner__participant__code,owner__session__code,owner__round_number,name,timestamp,body,owner__gamified,owner__crash_probability,owner__training,owner__exit_price,owner__subsession__starting_price,owner__subsession__max_length,current_price,priceIndex,secs_since_round_starts,subsession.tick_frequency,exit_crash,exit_sell,exit_hodl,mindchanges,exit_correct,gamified_first,player.gender,player.age,player.education,participant.payoff,FinScore,player.study_major,player.course_financial,player.trading_experience,player.online_trading_experience,player.trading_frequency,player.portfolio_frequency,player.asset_class,player.use_leverage,player.nationality,censoring,censoring_price
0,r9gp2bpz,tcbozsj9,2,Trade_ends,2021-11-17 17:12:21.394181+00:00,"{""currentPrice"": 0, ""priceIndex"": 5, ""secs_since_round_starts"": 10}",False,0.02,False,0.0,10.0,30.0,0,5,10,2.0,1,0,0,0,1,0,Male,51.0,master,40,8,Finance,1.0,1.0,0.0,Less than once a month,Weekly,Stocks,No,GB,10,0.0
2,qkwv9q2a,tcbozsj9,2,Trade_ends,2021-11-17 17:12:56.581275+00:00,"{""currentPrice"": 0, ""priceIndex"": 5, ""secs_since_round_starts"": 10}",True,0.02,False,0.0,10.0,30.0,0,5,10,2.0,1,0,0,0,1,1,Male,24.0,master,6,6,Other,0.0,1.0,1.0,Weekly,Weekly,Stocks,No,GB,10,0.0
12,xf9m51xx,tcbozsj9,2,Trade_ends,2021-11-17 17:15:35.716603+00:00,"{""currentPrice"": 43, ""priceIndex"": 30, ""secs_since_round_starts"": 60}",True,0.02,False,43.0,10.0,30.0,43,30,60,2.0,0,0,1,0,1,1,Female,26.0,master,24,4,Other,0.0,1.0,1.0,Weekly,Weekly,Stocks,Do not know,GB,60,1000.0
21,pd1jf59e,tcbozsj9,2,Trade_ends,2021-11-17 17:17:21.331956+00:00,"{""currentPrice"": 33, ""priceIndex"": 27, ""secs_since_round_starts"": 59}",False,0.02,False,33.0,10.0,30.0,33,27,59,2.0,0,1,0,0,1,0,Female,57.0,MBA,6,6,Other,0.0,0.0,0.0,Less than once a month,Monthly,Stocks,Do not know,GB,1000,1000.0
26,s1t7vxc5,tcbozsj9,2,Trade_ends,2021-11-17 17:18:16.622935+00:00,"{""currentPrice"": 0, ""priceIndex"": 18, ""secs_since_round_starts"": 36}",False,0.02,False,0.0,10.0,30.0,0,18,36,2.0,1,0,0,0,1,0,Female,46.0,master,24,10,Other,0.0,1.0,0.0,Weekly,Daily,Stocks,No,GB,36,0.0
40,x6h6vcwo,xm39f2ij,2,Trade_ends,2021-11-17 17:22:21.443648+00:00,"{""currentPrice"": 42, ""priceIndex"": 30, ""secs_since_round_starts"": 60}",False,0.02,False,42.0,10.0,30.0,42,30,60,2.0,0,0,1,0,1,0,Female,31.0,undergraduate: 2nd year,2,2,Other,0.0,1.0,0.0,Less than once a month,Less than once a month,Stocks,No,GB,60,1000.0
42,gspyeh5h,tcbozsj9,2,Trade_ends,2021-11-17 17:23:31.894412+00:00,"{""currentPrice"": 22, ""priceIndex"": 14, ""secs_since_round_starts"": 29}",True,0.02,False,22.0,10.0,30.0,22,14,29,2.0,0,1,0,0,1,1,Male,40.0,master,31,7,Other Management,1.0,1.0,1.0,Monthly,Daily,Stocks,No,ES,1000,1000.0
46,sjpagngy,tcbozsj9,2,Trade_ends,2021-11-17 17:24:10.009951+00:00,"{""currentPrice"": 0, ""priceIndex"": 8, ""secs_since_round_starts"": 32}",True,0.02,False,0.0,10.0,30.0,0,8,32,2.0,1,0,0,1,1,1,Male,50.0,master,25,6,Other,0.0,0.0,0.0,Less than once a month,Weekly,Stocks,No,GB,32,0.0
54,t7ukc19m,tcbozsj9,2,Trade_ends,2021-11-17 17:25:02.718162+00:00,"{""currentPrice"": 13, ""priceIndex"": 4, ""secs_since_round_starts"": 10}",False,0.02,False,13.0,10.0,30.0,13,4,10,2.0,0,1,0,0,1,0,Female,60.0,master,7,7,Other,0.0,1.0,0.0,Less than once a month,Weekly,Stocks,No,GB,1000,1000.0
55,hnet66cj,xm39f2ij,2,Trade_ends,2021-11-17 17:25:03.049299+00:00,"{""currentPrice"": 0, ""priceIndex"": 9, ""secs_since_round_starts"": 18}",False,0.02,False,0.0,10.0,30.0,0,9,18,2.0,1,0,0,0,1,0,Female,26.0,high-school graduate,6,6,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Cryptocurrencies,Do not know,GB,18,0.0
