,owner__participant__code,owner__session__code,owner__round_number,name,timestamp,body,owner__gamified,owner__crash_probability,owner__training,current_price,priceIndex,secs_since_round_starts,subsession.tick_frequency,exit_crash,exit_sell,exit_hodl,mindchanges,exit_correct,player.gender,player.age,player.education,FinScore,player.study_major,player.course_financial,player.trading_experience,player.online_trading_experience,player.trading_frequency,player.portfolio_frequency,player.asset_class,player.use_leverage,censoring
0,kzksst8e,9pqvaeel,2,Trade_ends,2021-11-09 22:27:50.736974+00:00,"{""currentPrice"": 24, ""priceIndex"": 15, ""secs_since_round_starts"": 32}",False,0.03,False,24,15,32,2.0,0,1,0,0,1,Female,33.0,undergraduate: 4th year,7,Other,0.0,1.0,0.0,Less than once a month,Less than once a month,Stocks,Do not know,1000
1,kzksst8e,9pqvaeel,3,Trade_ends,2021-11-09 22:28:34.912417+00:00,"{""currentPrice"": 0, ""priceIndex"": 13, ""secs_since_round_starts"": 39}",False,0.03,False,0,13,39,3.0,1,0,0,0,1,Female,33.0,undergraduate: 4th year,7,Other,0.0,1.0,0.0,Less than once a month,Less than once a month,Stocks,Do not know,39
2,kzksst8e,9pqvaeel,4,Trade_ends,2021-11-09 22:29:03.773132+00:00,"{""currentPrice"": 20, ""priceIndex"": 9, ""secs_since_round_starts"": 21}",False,0.06,False,20,9,21,2.0,0,1,0,0,1,Female,33.0,undergraduate: 4th year,7,Other,0.0,1.0,0.0,Less than once a month,Less than once a month,Stocks,Do not know,1000
3,kzksst8e,9pqvaeel,5,Trade_ends,2021-11-09 22:29:43.181970+00:00,"{""currentPrice"": 22, ""priceIndex"": 11, ""secs_since_round_starts"": 35}",False,0.06,False,22,11,35,3.0,0,1,0,0,1,Female,33.0,undergraduate: 4th year,7,Other,0.0,1.0,0.0,Less than once a month,Less than once a month,Stocks,Do not know,1000
4,kzksst8e,9pqvaeel,6,Trade_ends,2021-11-09 22:29:57.489925+00:00,"{""currentPrice"": 0, ""priceIndex"": 5, ""secs_since_round_starts"": 10}",True,0.03,False,0,5,10,2.0,1,0,0,0,1,Female,33.0,undergraduate: 4th year,7,Other,0.0,1.0,0.0,Less than once a month,Less than once a month,Stocks,Do not know,10
5,kzksst8e,9pqvaeel,7,Trade_ends,2021-11-09 22:30:33.967302+00:00,"{""currentPrice"": 20, ""priceIndex"": 8, ""secs_since_round_starts"": 29}",True,0.03,False,20,8,29,3.0,0,1,0,1,1,Female,33.0,undergraduate: 4th year,7,Other,0.0,1.0,0.0,Less than once a month,Less than once a month,Stocks,Do not know,1000
6,kzksst8e,9pqvaeel,8,Trade_ends,2021-11-09 22:30:51.607945+00:00,"{""currentPrice"": 0, ""priceIndex"": 7, ""secs_since_round_starts"": 14}",True,0.06,False,0,7,14,2.0,1,0,0,0,1,Female,33.0,undergraduate: 4th year,7,Other,0.0,1.0,0.0,Less than once a month,Less than once a month,Stocks,Do not know,14
7,kzksst8e,9pqvaeel,9,Trade_ends,2021-11-09 22:31:01.619351+00:00,"{""currentPrice"": 0, ""priceIndex"": 2, ""secs_since_round_starts"": 6}",True,0.06,False,0,2,6,3.0,1,0,0,0,1,Female,33.0,undergraduate: 4th year,7,Other,0.0,1.0,0.0,Less than once a month,Less than once a month,Stocks,Do not know,6
8,eik454hk,9pqvaeel,2,Trade_ends,2021-11-09 22:35:35.962409+00:00,"{""currentPrice"": 25, ""priceIndex"": 20, ""secs_since_round_starts"": 43}",False,0.03,False,25,20,43,2.0,0,1,0,0,1,Female,31.0,high-school graduate,4,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Cryptocurrencies,No,1000
9,eik454hk,9pqvaeel,3,Trade_ends,2021-11-09 22:36:21.765664+00:00,"{""currentPrice"": 28, ""priceIndex"": 13, ""secs_since_round_starts"": 41}",False,0.03,False,28,13,41,3.0,0,1,0,0,1,Female,31.0,high-school graduate,4,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Cryptocurrencies,No,1000
