,owner__participant__code,owner__session__code,owner__round_number,name,timestamp,body,owner__gamified,owner__crash_probability,owner__training,owner__exit_price,owner__subsession__starting_price,owner__subsession__max_length,current_price,priceIndex,secs_since_round_starts,subsession.tick_frequency,exit_crash,exit_sell,exit_hodl,mindchanges,exit_correct,gamified_first,player.gender,player.age,player.education,participant.payoff,FinScore,player.study_major,player.course_financial,player.trading_experience,player.online_trading_experience,player.trading_frequency,player.portfolio_frequency,player.asset_class,player.use_leverage,player.nationality,censoring,censoring_price
0,r9gp2bpz,tcbozsj9,2,Trade_ends,2021-11-17 17:12:21.394181+00:00,"{""currentPrice"": 0, ""priceIndex"": 5, ""secs_since_round_starts"": 10}",False,0.02,False,0.0,10.0,30.0,0,5,10,2.0,1,0,0,0,1,0,Male,51.0,master,40,8,Finance,1.0,1.0,0.0,Less than once a month,Weekly,Stocks,No,GB,10,0.0
1,r9gp2bpz,tcbozsj9,3,Trade_ends,2021-11-17 17:12:55.052232+00:00,"{""currentPrice"": 21, ""priceIndex"": 11, ""secs_since_round_starts"": 25}",False,0.05,False,21.0,10.0,30.0,21,11,25,2.0,0,1,0,0,1,0,Male,51.0,master,40,8,Finance,1.0,1.0,0.0,Less than once a month,Weekly,Stocks,No,GB,1000,1000.0
2,qkwv9q2a,tcbozsj9,2,Trade_ends,2021-11-17 17:12:56.581275+00:00,"{""currentPrice"": 0, ""priceIndex"": 5, ""secs_since_round_starts"": 10}",True,0.02,False,0.0,10.0,30.0,0,5,10,2.0,1,0,0,0,1,1,Male,24.0,master,6,6,Other,0.0,1.0,1.0,Weekly,Weekly,Stocks,No,GB,10,0.0
3,qkwv9q2a,tcbozsj9,3,Trade_ends,2021-11-17 17:13:19.705114+00:00,"{""currentPrice"": 0, ""priceIndex"": 7, ""secs_since_round_starts"": 14}",True,0.05,False,0.0,10.0,30.0,0,7,14,2.0,1,0,0,0,1,1,Male,24.0,master,6,6,Other,0.0,1.0,1.0,Weekly,Weekly,Stocks,No,GB,14,0.0
4,r9gp2bpz,tcbozsj9,4,Trade_ends,2021-11-17 17:13:47.752467+00:00,"{""currentPrice"": 35, ""priceIndex"": 21, ""secs_since_round_starts"": 45}",False,0.02,False,35.0,10.0,30.0,35,21,45,2.0,0,1,0,0,1,0,Male,51.0,master,40,8,Finance,1.0,1.0,0.0,Less than once a month,Weekly,Stocks,No,GB,1000,1000.0
5,qkwv9q2a,tcbozsj9,4,Trade_ends,2021-11-17 17:13:57.293981+00:00,"{""currentPrice"": 18, ""priceIndex"": 15, ""secs_since_round_starts"": 32}",True,0.02,False,18.0,10.0,30.0,18,15,32,2.0,0,1,0,0,1,1,Male,24.0,master,6,6,Other,0.0,1.0,1.0,Weekly,Weekly,Stocks,No,GB,1000,1000.0
6,r9gp2bpz,tcbozsj9,5,Trade_ends,2021-11-17 17:14:16.732607+00:00,"{""currentPrice"": 22, ""priceIndex"": 10, ""secs_since_round_starts"": 22}",False,0.05,False,22.0,10.0,30.0,22,10,22,2.0,0,1,0,0,1,0,Male,51.0,master,40,8,Finance,1.0,1.0,0.0,Less than once a month,Weekly,Stocks,No,GB,1000,1000.0
7,qkwv9q2a,tcbozsj9,5,Trade_ends,2021-11-17 17:14:17.356052+00:00,"{""currentPrice"": 0, ""priceIndex"": 8, ""secs_since_round_starts"": 16}",True,0.05,False,0.0,10.0,30.0,0,8,16,2.0,1,0,0,0,1,1,Male,24.0,master,6,6,Other,0.0,1.0,1.0,Weekly,Weekly,Stocks,No,GB,16,0.0
8,r9gp2bpz,tcbozsj9,6,Trade_ends,2021-11-17 17:14:25.588881+00:00,"{""currentPrice"": 0, ""priceIndex"": 2, ""secs_since_round_starts"": 4}",True,0.05,False,0.0,10.0,30.0,0,2,4,2.0,1,0,0,0,1,0,Male,51.0,master,40,8,Finance,1.0,1.0,0.0,Less than once a month,Weekly,Stocks,No,GB,4,0.0
9,qkwv9q2a,tcbozsj9,6,Trade_ends,2021-11-17 17:14:30.478447+00:00,"{""currentPrice"": 16, ""priceIndex"": 3, ""secs_since_round_starts"": 8}",False,0.05,False,16.0,10.0,30.0,16,3,8,2.0,0,1,0,0,1,1,Male,24.0,master,6,6,Other,0.0,1.0,1.0,Weekly,Weekly,Stocks,No,GB,1000,1000.0
