,owner__participant__code,owner__session__code,owner__round_number,name,timestamp,body,owner__gamified,owner__crash_probability,owner__training,owner__exit_price,owner__subsession__starting_price,owner__subsession__max_length,current_price,priceIndex,secs_since_round_starts,subsession.tick_frequency,exit_crash,exit_sell,exit_hodl,mindchanges,exit_correct,gamified_first,player.gender,player.age,player.education,FinScore,player.study_major,player.course_financial,player.trading_experience,player.online_trading_experience,player.trading_frequency,player.portfolio_frequency,player.asset_class,player.use_leverage,censoring
0,28opznx1,6jpxnq92,2,Trade_ends,2021-11-11 22:23:42.704855+00:00,"{""currentPrice"": 44, ""priceIndex"": 30, ""secs_since_round_starts"": 60}",False,0.02,False,44.0,10.0,30.0,44,30,60,2.0,0,0,1,0,1,0,Female,19.0,undergraduate: 2nd year,9,Finance,0.0,1.0,1.0,Monthly,Daily,Stocks,No,60
1,28opznx1,6jpxnq92,3,Trade_ends,2021-11-11 22:24:50.196170+00:00,"{""currentPrice"": 41, ""priceIndex"": 30, ""secs_since_round_starts"": 60}",False,0.02,False,41.0,10.0,30.0,41,30,60,2.0,0,0,1,0,1,0,Female,19.0,undergraduate: 2nd year,9,Finance,0.0,1.0,1.0,Monthly,Daily,Stocks,No,60
2,28opznx1,6jpxnq92,4,Trade_ends,2021-11-11 22:25:58.530535+00:00,"{""currentPrice"": 41, ""priceIndex"": 30, ""secs_since_round_starts"": 60}",False,0.06,False,41.0,10.0,30.0,41,30,60,2.0,0,0,1,0,1,0,Female,19.0,undergraduate: 2nd year,9,Finance,0.0,1.0,1.0,Monthly,Daily,Stocks,No,60
3,28opznx1,6jpxnq92,5,Trade_ends,2021-11-11 22:27:06.578461+00:00,"{""currentPrice"": 30, ""priceIndex"": 30, ""secs_since_round_starts"": 60}",False,0.06,False,30.0,10.0,30.0,30,30,60,2.0,0,0,1,0,1,0,Female,19.0,undergraduate: 2nd year,9,Finance,0.0,1.0,1.0,Monthly,Daily,Stocks,No,60
4,28opznx1,6jpxnq92,6,Trade_ends,2021-11-11 22:27:29.939236+00:00,"{""currentPrice"": 0, ""priceIndex"": 8, ""secs_since_round_starts"": 16}",True,0.02,False,0.0,10.0,30.0,0,8,16,2.0,1,0,0,0,1,0,Female,19.0,undergraduate: 2nd year,9,Finance,0.0,1.0,1.0,Monthly,Daily,Stocks,No,16
5,28opznx1,6jpxnq92,7,Trade_ends,2021-11-11 22:28:09.215235+00:00,"{""currentPrice"": 18, ""priceIndex"": 12, ""secs_since_round_starts"": 29}",True,0.02,False,18.0,10.0,30.0,18,12,29,2.0,0,1,0,0,1,0,Female,19.0,undergraduate: 2nd year,9,Finance,0.0,1.0,1.0,Monthly,Daily,Stocks,No,1000
6,28opznx1,6jpxnq92,8,Trade_ends,2021-11-11 22:28:27.165546+00:00,"{""currentPrice"": 0, ""priceIndex"": 6, ""secs_since_round_starts"": 12}",True,0.06,False,0.0,10.0,30.0,0,6,12,2.0,1,0,0,0,1,0,Female,19.0,undergraduate: 2nd year,9,Finance,0.0,1.0,1.0,Monthly,Daily,Stocks,No,12
7,28opznx1,6jpxnq92,9,Trade_ends,2021-11-11 22:28:44.731360+00:00,"{""currentPrice"": 13, ""priceIndex"": 3, ""secs_since_round_starts"": 10}",True,0.06,False,13.0,10.0,30.0,13,3,10,2.0,0,1,0,0,1,0,Female,19.0,undergraduate: 2nd year,9,Finance,0.0,1.0,1.0,Monthly,Daily,Stocks,No,1000
8,lmni24iv,6jpxnq92,2,Trade_ends,2021-11-11 22:52:58.542670+00:00,"{""currentPrice"": 15, ""priceIndex"": 3, ""secs_since_round_starts"": 9}",True,0.02,False,15.0,10.0,30.0,15,3,9,2.0,0,1,0,0,1,1,Female,22.0,undergraduate: 3d year,7,Other Management,0.0,1.0,0.0,Less than once a month,Less than once a month,Cryptocurrencies,Do not know,1000
9,lmni24iv,6jpxnq92,3,Trade_ends,2021-11-11 22:53:17.591597+00:00,"{""currentPrice"": 14, ""priceIndex"": 4, ""secs_since_round_starts"": 12}",True,0.02,False,14.0,10.0,30.0,14,4,12,2.0,0,1,0,0,1,1,Female,22.0,undergraduate: 3d year,7,Other Management,0.0,1.0,0.0,Less than once a month,Less than once a month,Cryptocurrencies,Do not know,1000
10,lmni24iv,6jpxnq92,4,Trade_ends,2021-11-11 22:53:41.265235+00:00,"{""currentPrice"": 19, ""priceIndex"": 7, ""secs_since_round_starts"": 17}",True,0.06,False,19.0,10.0,30.0,19,7,17,2.0,0,1,0,0,1,1,Female,22.0,undergraduate: 3d year,7,Other Management,0.0,1.0,0.0,Less than once a month,Less than once a month,Cryptocurrencies,Do not know,1000
11,3ue47hkz,6jpxnq92,2,Trade_ends,2021-11-11 22:53:51.864103+00:00,"{""currentPrice"": 0, ""priceIndex"": 1, ""secs_since_round_starts"": 2}",False,0.02,False,0.0,10.0,30.0,0,1,2,2.0,1,0,0,0,1,0,Male,35.0,master,10,Other,1.0,1.0,1.0,Daily,Daily,"Derivatives (Options, Futures)",Yes,2
12,oqvmwgef,6jpxnq92,2,Trade_ends,2021-11-11 22:53:55.286898+00:00,"{""currentPrice"": 18, ""priceIndex"": 8, ""secs_since_round_starts"": 19}",True,0.02,False,18.0,10.0,30.0,18,8,19,2.0,0,1,0,0,1,1,Male,29.0,high-school graduate,4,Other,0.0,1.0,1.0,Less than once a month,Less than once a month,Stocks,Yes,1000
13,lmni24iv,6jpxnq92,5,Trade_ends,2021-11-11 22:54:04.888649+00:00,"{""currentPrice"": 17, ""priceIndex"": 7, ""secs_since_round_starts"": 17}",True,0.06,False,17.0,10.0,30.0,17,7,17,2.0,0,1,0,0,1,1,Female,22.0,undergraduate: 3d year,7,Other Management,0.0,1.0,0.0,Less than once a month,Less than once a month,Cryptocurrencies,Do not know,1000
14,oqvmwgef,6jpxnq92,3,Trade_ends,2021-11-11 22:54:21.496798+00:00,"{""currentPrice"": 0, ""priceIndex"": 5, ""secs_since_round_starts"": 10}",True,0.02,False,0.0,10.0,30.0,0,5,10,2.0,1,0,0,0,1,1,Male,29.0,high-school graduate,4,Other,0.0,1.0,1.0,Less than once a month,Less than once a month,Stocks,Yes,10
15,3ue47hkz,6jpxnq92,3,Trade_ends,2021-11-11 22:54:25.524478+00:00,"{""currentPrice"": 15, ""priceIndex"": 9, ""secs_since_round_starts"": 26}",False,0.02,False,15.0,10.0,30.0,15,9,26,2.0,0,1,0,0,1,0,Male,35.0,master,10,Other,1.0,1.0,1.0,Daily,Daily,"Derivatives (Options, Futures)",Yes,1000
